,company_name,location,classification,revenue
825,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12",
826,,"MEMPHIS, TN",Higher Education Institutions,
827,,"GERMANTOWN, TN",Educational Services and Schools - Other,
828,,"BARTLETT, TN",Parent/Teacher Group,
829,,"JOHNSON CITY, TN",Parent/Teacher Group,
830,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$36,767"
831,,"CLEVELAND, TN",Fund Raising and/or Fund Distribution,"$768,303"
832,,"CLEVELAND, TN",Educational Services and Schools - Other,
833,,"CHATTANOOGA, TN","Primary, Elementary Schools","$4,179,890"
834,,"KNOXVILLE, TN",Parent/Teacher Group,"$44,512"
835,,"OLD HICKORY, TN",Educational Services and Schools - Other,
836,,"HENDERSONVLLE, TN",Educational Services and Schools - Other,
837,,"MEMPHIS, TN","Adult, Continuing Education",
838,,"BRIGHTON, TN",Single Organization Support,
839,,"CLEVELAND, TN","Vocational, Technical Schools","$2,779,261"
840,,"RICKMAN, TN",Parent/Teacher Group,
841,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards","$10,000"
842,,"GAINESBORO, TN","Adult, Continuing Education",
843,,"BUTLER, TN",Libraries,
844,,"HUNTINGDON, TN","Scholarships, Student Financial Aid Services, Awards",
845,,"CALHOUN, TN",Parent/Teacher Group,
846,,"MEMPHIS, TN",Educational Services and Schools - Other,
847,,"LA FOLLETTE, TN",Education N.E.C.,
848,,"OOLTEWAH, TN",Single Organization Support,
849,,"HIXSON, TN","Primary, Elementary Schools",
850,,"MARYVILLE, TN",Alliance/Advocacy Organizations,
851,,"NASHVILLE, TN",Educational Services and Schools - Other,
852,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$1,001,340"
853,,"BURNS, TN","Scholarships, Student Financial Aid Services, Awards",
854,,"KNOXVILLE, TN",Single Organization Support,
855,,"MURFREESBORO, TN",Parent/Teacher Group,
856,,"SEVIERVILLE, TN","Elementary, Secondary Education, K - 12",
857,,"NASHVILLE, TN",Educational Services and Schools - Other,
858,,"MEMPHIS, TN","Secondary, High School","$247,373"
859,,"CHAPEL HILL, TN",Parent/Teacher Group,"$111,322"
860,,"CHARLOTTE, TN",Parent/Teacher Group,
861,,"CHATTANOOGA, TN",Alliance/Advocacy Organizations,
862,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)",
863,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$27,460,378"
864,,"CHATTANOOGA, TN",Education N.E.C.,
865,,"CHATTANOOGA, TN","Graduate, Professional Schools (Separate Entities)",
866,,"CHATTANOOGA, TN",Educational Services and Schools - Other (B9XZ),
867,,"CHATTANOOGA, TN","Adult, Continuing Education",
868,,"CLARKSVILLE, TN",Parent/Teacher Group,
869,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$156,000"
870,,"CULLEOKA, TN",Education N.E.C.,"$112,691"
871,,"KNOXVILLE, TN","Primary, Elementary Schools","$20,440,407"
872,,"MEMPHIS, TN",University or Technological Institute,"$73,065,264"
873,,"WHITE HOUSE, TN","Elementary, Secondary Education, K - 12","$3,396,308"
874,,"COLLIERVILLE, TN",Single Organization Support,"$191,500"
875,,"CLARKSVILLE, TN",Education N.E.C.,
876,,"CLARKSVILLE, TN","Professional Societies, Associations","$487,539"
877,,"KINGSTON, TN",Educational Services and Schools - Other,
878,,"LOUDON, TN","Scholarships, Student Financial Aid Services, Awards",
879,,"COALFIELD, TN",Parent/Teacher Group,
880,,"TULLAHOMA, TN",Libraries,
881,,"MANCHESTER, TN",Single Organization Support,"$137,506"
882,,"LEXINGTON, TN","Scholarships, Student Financial Aid Services, Awards",
883,,"KNOXVILLE, TN","Professional Societies, Associations",
884,,"KNOXVILLE, TN","Professional Societies, Associations",
885,,"KNOXVILLE, TN","Professional Societies, Associations",
886,,"KNOXVILLE, TN","Professional Societies, Associations",
887,,"KNOXVILLE, TN","Student Services, Organizations of Students","$261,643"
888,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
889,,"COLLEGE GROVE, TN",Parent/Teacher Group,"$115,773"
890,,"NASHVILLE, TN",Educational Services and Schools - Other,
891,,"COLLIERVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$7,355"
892,,"COLLIERVILLE, TN",Educational Services and Schools - Other,
893,,"COLLIERVILLE, TN",Parent/Teacher Group,
894,,"COLLIERVILLE, TN",Single Organization Support,
895,,"CLARKSVILLE, TN",Education N.E.C.,
896,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement","$112,186"
897,,"NASHVILLE, TN",Educational Services and Schools - Other,
898,,"COOKEVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$49,123"
899,,"SPRINGFIELD, TN",Single Organization Support,
900,,"COPPERHILL, TN",Single Organization Support,
901,,"CORDOVA, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
902,,"CORNERSVILLE, TN",Education N.E.C.,"$31,176"
903,,"MCMINNVILLE, TN","Elementary, Secondary Education, K - 12",
904,,"CROSSVILLE, TN","Elementary, Secondary Education, K - 12","$1,280,455"
905,,"NASHVILLE, TN","Primary, Elementary Schools",
906,,"CLARKSVILLE, TN",Parent/Teacher Group,
907,,"FRANKLIN, TN","Remedial Reading, Reading Encouragement",
908,,"BRENTWOOD, TN","Secondary, High School",
909,,"BRENTWOOD, TN",Parent/Teacher Group,"$124,122"
910,,"NASHVILLE, TN","Adult, Continuing Education","$6,269,666"
911,,"LENOIR CITY, TN","Primary, Elementary Schools","$483,684"
912,,"CHATTANOOGA, TN",Education N.E.C.,
913,,"HENDERSONVLLE, TN","Scholarships, Student Financial Aid Services, Awards",
914,,"NASHVILLE, TN",Parent/Teacher Group,"$51,407"
915,,"NASHVILLE, TN",Educational Services and Schools - Other,
916,,"SMYRNA, TN",Parent/Teacher Group,
917,,"DICKSON, TN",Alumni Associations,
918,,"HENDERSONVLLE, TN",Alliance/Advocacy Organizations,"$370,679"
919,,"SMITHVILLE, TN",Education N.E.C.,
920,,"CHATTANOOGA, TN",Alliance/Advocacy Organizations,
921,,"OLD HICKORY, TN",Single Organization Support,
922,,"CHATTANOOGA, TN",Education N.E.C.,
923,,"BARTLETT, TN",Educational Services and Schools - Other,
924,,"KINGSPORT, TN",Single Organization Support,
925,,"COLLIERVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
926,,"MASON, TN",Fund Raising and/or Fund Distribution,
927,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
928,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
929,,"DYERSBURG, TN","Scholarships, Student Financial Aid Services, Awards","$2,124"
930,,"MEMPHIS, TN",Alumni Associations,
931,,"CLARKSVILLE, TN",Fund Raising and/or Fund Distribution,
932,,"CALHOUN, TN","Elementary, Secondary Education, K - 12","$14,527"
933,,"CORDOVA, TN",Educational Services and Schools - Other,
934,,"MORRISTOWN, TN",Single Organization Support,"$50,878"
935,,"MASCOT, TN",Single Organization Support,"$27,600"
936,,"KNOXVILLE, TN","Adult, Continuing Education",
937,,"NASHVILLE, TN","Adult, Continuing Education","$395,082"
938,,"WALLAND, TN",Educational Services and Schools - Other,"$91,893"
939,,"BRENTWOOD, TN",Parent/Teacher Group,"$115,732"
940,,"MEMPHIS, TN",Single Organization Support,"$1,512,276"
941,,"CHATTANOOGA, TN",Management & Technical Assistance,
942,,"UNION CITY, TN","Scholarships, Student Financial Aid Services, Awards",
943,,"FRANKLIN, TN",Fund Raising and/or Fund Distribution,"$77,500"
944,,"MEMPHIS, TN","Adult, Continuing Education",
945,,"NASHVILLE, TN",Educational Services and Schools - Other,
946,,"NASHVILLE, TN","Student Services, Organizations of Students",
947,,"ANTIOCH, TN",Educational Services and Schools - Other,$125
948,,"MOUNT JULIET, TN",Parent/Teacher Group,
949,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$5,598,772"
950,,"LOUISVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$1,740"
951,,"JOHNSON CITY, TN","Student Services, Organizations of Students",
952,,"CLEVELAND, TN",Education N.E.C.,
953,,"NASHVILLE, TN",Libraries,
954,,"COLLIERVILLE, TN","Student Services, Organizations of Students",
955,,"MEMPHIS, TN","Primary, Elementary Schools",
956,,"OOLTEWAH, TN",Educational Services and Schools - Other,
957,,"NASHVILLE, TN",Educational Services and Schools - Other,"$409,525"
958,,"FAIRVIEW, TN","Secondary, High School","$247,688"
959,,"FALL BRANCH, TN",Education N.E.C.,
960,,"KNOXVILLE, TN",Educational Services and Schools - Other,
961,,"FARRAGUT, TN",Single Organization Support,
962,,"KNOXVILLE, TN",Parent/Teacher Group,
963,,"KNOXVILLE, TN",Alumni Associations,
964,,"MARYVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
965,,"KNOXVILLE, TN",Single Organization Support,
966,,"SEVIERVILLE, TN",Single Organization Support,"$98,459"
967,,"JOHNSON CITY, TN",Education N.E.C.,
968,,"KNOXVILLE, TN",Parent/Teacher Group,
969,,"FRANKLIN, TN",Parent/Teacher Group,"$138,089"
970,,"FRANKLIN, TN",Single Organization Support,"$579,773"
971,,"MEMPHIS, TN","Primary, Elementary Schools","$33,295,008"
972,,"BRISTOL, TN",Nonmonetary Support N.E.C.,
973,,"THOMPSONS STN, TN",Single Organization Support,
974,,"ETOWAH, TN",Fund Raising and/or Fund Distribution,
975,,"LAKE CITY, TN",Single Organization Support,
976,,"SWEETWATER, TN",Libraries,
977,,"FRANKLIN, TN",Libraries,
978,,"BARTLETT, TN",Libraries,
979,,"BROWNSVILLE, TN",Single Organization Support,
980,,"GERMANTOWN, TN",Single Organization Support,"$87,270"
981,,"TRENTON, TN",Single Organization Support,
982,,"HUMBOLDT, TN",Fund Raising and/or Fund Distribution,
983,,"FRANKLIN, TN",Libraries,
984,,"MURFREESBORO, TN",Libraries (B71I),
985,,"VONORE, TN",Single Organization Support,
986,,"PARIS, TN",Single Organization Support,"$17,516"
987,,"JONESBOROUGH, TN",Single Organization Support,
988,,"LEBANON, TN","Primary, Elementary Schools","$9,965,951"
989,,"ANTIOCH, TN","Elementary, Secondary Education, K - 12",
990,,"GOODLETTSVLLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$506,218"
991,,"NASHVILLE, TN",Education N.E.C.,
992,,"GERMANTOWN, TN",Educational Services and Schools - Other,
993,,"GALLATIN, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$392,361"
994,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
995,,"GATLINBURG, TN","Scholarships, Student Financial Aid Services, Awards","$59,423"
996,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,"$144,978"
997,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
998,,"GERMANTOWN, TN",Alumni Associations,
999,,"GERMANTOWN, TN",Single Organization Support,
1000,,"MOUNT JULIET, TN",Single Organization Support,
1001,,"TRENTON, TN",Fund Raising and/or Fund Distribution,"$34,301"
1002,,"MOUNT JULIET, TN",Parent/Teacher Group,
1003,,"CLARKSVILLE, TN",Educational Services and Schools - Other,
1004,,"OAK RIDGE, TN",Parent/Teacher Group,
1005,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement",
1006,,"CORDOVA, TN",Educational Services and Schools - Other,
1007,,"NASHVILLE, TN",Educational Services and Schools - Other,"$97,208"
1008,,"MEMPHIS, TN",Education N.E.C.,"$3,780"
1009,,"NASHVILLE, TN",Educational Services and Schools - Other,
1010,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement","$14,676,458"
1011,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1012,,"NASHVILLE, TN",Single Organization Support,
1013,,"DUNLAP, TN","Scholarships, Student Financial Aid Services, Awards",
1014,,"BRENTWOOD, TN","Adult, Continuing Education","$65,667"
1015,,"MEMPHIS, TN",Educational Services and Schools - Other,
1016,,"NASHVILLE, TN",Educational Services and Schools - Other,
1017,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1018,,"GALLATIN, TN","Secondary, High School","$46,827"
1019,,"GREENEVILLE, TN",Libraries,"$46,912"
1020,,"GREENEVILLE, TN",Single Organization Support,"$260,788"
1021,,"GREENEVILLE, TN",Parent/Teacher Group,"$74,058"
1022,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,"$32,560"
1023,,"NASHVILLE, TN","Professional Societies, Associations",
1024,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1025,,"HAMPSHIRE, TN",Single Organization Support,
1026,,"MEMPHIS, TN",University or Technological Institute,
1027,,"BOLIVAR, TN","Remedial Reading, Reading Encouragement",
1028,,"NASHVILLE, TN","Primary, Elementary Schools","$14,070,043"
1029,,"MEMPHIS, TN",Educational Services and Schools - Other,
1030,,"NASHVILLE, TN",Parent/Teacher Group,
1031,,"CLARKSVILLE, TN",Single Organization Support,
1032,,"HENDERSONVILLE, TN",Parent/Teacher Group,
1033,,"MEMPHIS, TN",Educational Services and Schools - Other,"$85,000"
1034,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1035,,"FINGER, TN",Fund Raising and/or Fund Distribution,
1036,,"MILLINGTON, TN",Fund Raising and/or Fund Distribution,
1037,,"PARIS, TN",Fund Raising and/or Fund Distribution,
1038,,"NASHVILLE, TN",Single Organization Support,"$137,883"
1039,,"JEFFERSON CTY, TN",Education N.E.C.,
1040,,"CORDOVA, TN","Secondary, High School",
1041,,"MEMPHIS, TN",Educational Services and Schools - Other,
1042,,"NASHVILLE, TN",Single Organization Support,"$104,848"
1043,,"NASHVILLE, TN",Parent/Teacher Group,
1044,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1045,,"GALLATIN, TN",Single Organization Support,
1046,,"HIXSON, TN",Alumni Associations,
1047,,"NASHVILLE, TN",Educational Services and Schools - Other,
1048,,"HOLLADAY, TN",Parent/Teacher Group,
1049,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
1050,,"NASHVILLE, TN",Education N.E.C.,"$283,171"
1051,,"JOHNSON CITY, TN","Student Sororities, Fraternities",
1052,,"KNOXVILLE, TN","Student Sororities, Fraternities",
1053,,"CLARKSVILLE, TN",Alumni Associations,
1054,,"COLLIERVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$1,000"
1055,,"GERMANTOWN, TN",Single Organization Support,"$156,233"
1056,,"GERMANTOWN, TN",Parent/Teacher Group,
1057,,"GERMANTOWN, TN",Education N.E.C.,"$37,081"
1058,,"NASHVILLE, TN",Single Organization Support,"$69,718"
1059,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$23,507,593"
1060,,"JOHNSON CITY, TN","Secondary, High School",
1061,,"THOMPSONS STATION, TN",Parent/Teacher Group,"$848,792"
1062,,"CUNNINGHAM, TN",Single Organization Support,
1063,,"ATHENS, TN",Parent/Teacher Group,
1064,,"MEMPHIS, TN",Education N.E.C.,
1065,,"NASHVILLE, TN",Education N.E.C.,"$34,569,990"
1066,,"BRENTWOOD, TN",Undergraduate College (4-year),"$3,220,383"
1067,,"BRADYVILLE, TN",Specialized Education Institutions,
1068,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1069,,"MADISON, TN",Alumni Associations,
1070,,"HENDERSONVLLE, TN",Parent/Teacher Group,
1071,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$263,248"
1072,,"TRENTON, TN",Educational Services and Schools - Other,
1073,,"JACKSON, TN","Primary, Elementary Schools","$8,806,218"
1074,,"JACKSON, TN",Libraries,"$22,677"
1075,,"BARTLETT, TN",Educational Services and Schools - Other,
1076,,"COLUMBIA, TN",Single Organization Support,"$75,743"
1077,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards","$3,988"
1078,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
1079,,"OAK RIDGE, TN",Parent/Teacher Group,
1080,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
1081,,"NASHVILLE, TN","Secondary, High School","$3,995"
1082,,"KINGSPORT, TN",Single Organization Support,
1083,,"NASHVILLE, TN",Educational Services and Schools - Other,
1084,,"MEMPHIS, TN",Educational Services and Schools - Other,
1085,,"BRENTWOOD, TN","Student Sororities, Fraternities",
1086,,"ARLINGTON, TN","Student Sororities, Fraternities",
1087,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
1088,,"KNOXVILLE, TN",Parent/Teacher Group,
1089,,"ELIZABETHTON, TN",Single Organization Support,
1090,,"LENOIR CITY, TN","Scholarships, Student Financial Aid Services, Awards",
1091,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
1092,,"ATHENS, TN","Scholarships, Student Financial Aid Services, Awards",
1093,,"COOKEVILLE, TN","Student Services, Organizations of Students","$1,331,761"
1094,,"MEMPHIS, TN",Education N.E.C.,
1095,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1096,,"BRISTOL, TN",Undergraduate College (4-year),"$42,931,439"
1097,,"NASHVILLE, TN","Primary, Elementary Schools","$1,433,067"
1098,,"KINGSPORT, TN",Specialized Education Institutions,"$250,141"
1099,,"KINGSTON, TN",Parent/Teacher Group,"$32,042"
1100,,"KINGSTON SPGS, TN",Parent/Teacher Group,
1101,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,"$6,968,305"
1102,,"KNOXVILLE, TN",Undergraduate College (4-year),"$541,970"
1103,,"KNOXVILLE, TN",Alumni Associations,
1104,,"KNOXVILLE, TN",Alliance/Advocacy Organizations,
1105,,"KNOXVILLE, TN","Graduate, Professional Schools (Separate Entities)",
1106,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$142,264"
1107,,"SEWANEE, TN","Scholarships, Student Financial Aid Services, Awards",
1108,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1109,,"LIVINGSTON, TN",Single Organization Support,
1110,,"MEMPHIS, TN",Single Organization Support,"$2,007"
1111,,"LAKELAND, TN",Parent/Teacher Group,
1112,,"LAKELAND, TN",Educational Services and Schools - Other,
1113,,"JACKSON, TN",Alumni Associations,"$21,626"
1114,,"COLLEGEDALE, TN",Alumni Associations,
1115,,"MEMPHIS, TN",Educational Services and Schools - Other,"$126,361"
1116,,"LA VERGNE, TN",Single Organization Support,
1117,,"LAWRENCEBURG, TN","Primary, Elementary Schools","$19,621"
1118,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$52,206,992"
1119,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12",
1120,,"LEBANON, TN","Student Services, Organizations of Students","$170,576"
1121,,"FRANKLIN, TN",Parent/Teacher Group,"$67,952"
1122,,"LEXINGTON, TN",Single Organization Support,
1123,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$8,168,414"
1124,,"ALAMO, TN",Educational Services and Schools - Other,
1125,,"HARROGATE, TN",University or Technological Institute,"$200,478,196"
1126,,"BRENTWOOD, TN",Fund Raising and/or Fund Distribution,"$106,753"
1127,,"SEYMOUR, TN",Educational Services and Schools - Other,
1128,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1129,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
1130,,"SPRING HILL, TN",Educational Services and Schools - Other,"$74,812"
1131,,"CHATTANOOGA, TN",Single Organization Support,
1132,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
1133,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12",
1134,,"SEVIERVILLE, TN",Education N.E.C.,
1135,,"NASHVILLE, TN",Educational Services and Schools - Other,"$500,018"
1136,,"MADISON, TN","Secondary, High School",
1137,,"MADISON, TN",Alumni Associations,
1138,,"CHATTANOOGA, TN",Education N.E.C.,"$157,889"
1139,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1140,,"COLUMBIA, TN",Libraries,
1141,,"SODDY DAISY, TN",Single Organization Support,
1142,,"OLIVER SPGS, TN",Fund Raising and/or Fund Distribution,"$110,555"
1143,,"NASHVILLE, TN","Secondary, High School",
1144,,"NASHVILLE, TN",Single Organization Support,
1145,,"LEWISBURG, TN","Student Services, Organizations of Students",
1146,,"ATHENS, TN",Single Organization Support,
1147,,"MC KENZIE, TN",Libraries,
1148,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1149,,"DECATUR, TN",Libraries,
1150,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
1151,,"LEOMA, TN","Scholarships, Student Financial Aid Services, Awards",
1152,,"MEMPHIS, TN","Professional Societies, Associations",
1153,,"COLLIERVILLE, TN",Educational Services and Schools - Other,
1154,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12",
1155,,"GERMANTOWN, TN","Scholarships, Student Financial Aid Services, Awards",
1156,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$3,879,081"
1157,,"MEMPHIS, TN","Vocational, Technical Schools",
1158,,"ALCOA, TN","Student Services, Organizations of Students",
1159,,"NASHVILLE, TN",Educational Services and Schools - Other,
1160,,"MOUNT JULIET, TN",Educational Services and Schools - Other,
1161,,"HERMITAGE, TN",Education N.E.C.,
1162,,"CORDOVA, TN","Graduate, Professional Schools (Separate Entities)","$5,422,482"
1163,,"CORDOVA, TN",Educational Services and Schools - Other,
1164,,"COLLIERVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1165,,"BEECHGROVE, TN","Professional Societies, Associations",
1166,,"MURFREESBORO, TN","Elementary, Secondary Education, K - 12","$15,026,244"
1167,,"KINGSTON, TN",Single Organization Support,
1168,,"MILAN, TN","Secondary, High School",
1169,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1170,,"MURFREESBORO, TN","Elementary, Secondary Education, K - 12",
1171,,"JACKSON, TN","Scholarships, Student Financial Aid Services, Awards",
1172,,"MOUNT CARMEL, TN",Parent/Teacher Group,
1173,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12",
1174,,"GALLATIN, TN",Higher Education Institutions,
1175,,"MUNFORD, TN",Single Organization Support,"$51,620"
1176,,"CROSSVILLE, TN",Education N.E.C.,"$5,200"
1177,,"MEMPHIS, TN","Student Services, Organizations of Students",
1178,,"GERMANTOWN, TN",Fund Raising and/or Fund Distribution,
1179,,"LEWISBURG, TN","Adult, Continuing Education",
1180,,"KNOXVILLE, TN",Libraries,
1181,,"NASHVILLE, TN",Alumni Associations,
1182,,"NASHVILLE, TN",Single Organization Support,
1183,,"THOMPSONS STN, TN",Fund Raising and/or Fund Distribution,
1184,,"NASHVILLE, TN",Educational Services and Schools - Other,
1185,,"NASHVILLE, TN",Educational Services and Schools - Other,
1186,,"NASHVILLE, TN",Management & Technical Assistance,"$98,284"
1187,,"NASHVILLE, TN",Single Organization Support,"$1,186,045"
1188,,"MEMPHIS, TN",Educational Services and Schools - Other,
1189,,"FRANKLIN, TN","Elementary, Secondary Education, K - 12","$5,778,572"
1190,,"NASHVILLE, TN",Educational Services and Schools - Other,"$156,570"
1191,,"HEISKELL, TN",Alumni Associations,"$17,899"
1192,,"RICEVILLE, TN",Education N.E.C.,"$54,517"
1193,,"MURFREESBORO, TN",Fund Raising and/or Fund Distribution,
1194,,"BLOUNTVILLE, TN",Community or Junior Colleges,"$894,406"
1195,,"MURFREESBORO, TN",Parent/Teacher Group,
1196,,"CLEVELAND, TN","Remedial Reading, Reading Encouragement","$133,019"
1197,,"HIXSON, TN","Professional Societies, Associations",
1198,,"OAK RIDGE, TN",Parent/Teacher Group,
1199,,"OAK RIDGE, TN",Fund Raising and/or Fund Distribution,
1200,,"OAK RIDGE, TN",Fund Raising and/or Fund Distribution,
1201,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12","$583,068"
1202,,"JACKSON, TN","Student Sororities, Fraternities",
1203,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1204,,"COLUMBIA, TN",Single Organization Support,
1205,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",$698
1206,,"THOMPSONS STN, TN",Alliance/Advocacy Organizations,"$15,663"
1207,,"OOLTEWAH, TN",Fund Raising and/or Fund Distribution,"$54,015"
1208,,"MEMPHIS, TN",Educational Services and Schools - Other,
1209,,"FRANKLIN, TN",Management & Technical Assistance,
1210,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12","$140,899"
1211,,"NASHVILLE, TN",Parent/Teacher Group,
1212,,"JOHNSON CITY, TN",Single Organization Support,
1213,,"MEMPHIS, TN",Single Organization Support,
1214,,"GREENEVILLE, TN",Single Organization Support,
1215,,"MADISONVILLE, TN",Single Organization Support,
1216,,"SODDY DAISY, TN",Single Organization Support,
1217,,"SOMERVILLE, TN",Single Organization Support,
1218,,"SODDY DAISY, TN",Single Organization Support,
1219,,"HENDERSONVLLE, TN",Single Organization Support,
1220,,"FRANKLIN, TN",Single Organization Support,
1221,,"KINGSPORT, TN",Single Organization Support,
1222,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12 (B22Z)","$440,820"
1223,,"BLUFF CITY, TN",Single Organization Support,
1224,,"MEMPHIS, TN",Alumni Associations,
1225,,"MEMPHIS, TN","Student Services, Organizations of Students",
1226,,"NASHVILLE, TN","Professional Societies, Associations",
1227,,"BYRDSTOWN, TN",Libraries,
1228,,"MEMPHIS, TN",Education N.E.C.,"$976,781"
1229,,"CHATTANOOGA, TN","Primary, Elementary Schools",
1230,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards","$62,998"
1231,,"FRANKLIN, TN",Education N.E.C.,"$332,646"
1232,,"PORTLAND, TN",Parent/Teacher Group,
1233,,"MEMPHIS, TN","Adult, Continuing Education",
1234,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement","$1,982,481"
1235,,"KNOXVILLE, TN",Alliance/Advocacy Organizations,
1236,,"NASHVILLE, TN",Educational Services and Schools - Other,
1237,,"BRENTWOOD, TN",Education N.E.C.,"$113,854"
1238,,"SEYMOUR, TN",Single Organization Support,"$49,942"
1239,,"MURFREESBORO, TN","Elementary, Secondary Education, K - 12","$10,671,199"
1240,,"FRANKLIN, TN",Parent/Teacher Group,"$46,225"
1241,,"JOHNSON CITY, TN",Parent/Teacher Group,
1242,,"CHATTANOOGA, TN",Parent/Teacher Group,
1243,,"KNOXVILLE, TN",Parent/Teacher Group,
1244,,"COLLIERVILLE, TN",Parent/Teacher Group,
1245,,"BRISTOL, TN",Parent/Teacher Group,
1246,,"NASHVILLE, TN",Single Organization Support,
1247,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$4,067,504"
1248,,"COOKEVILLE, TN",Single Organization Support,"$218,466"
1249,,"KINGSTON SPGS, TN",Research Institutes and/or Public Policy Analysis,
1250,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
1251,,"FAYETTEVILLE, TN",Specialized Education Institutions,"$210,131"
1252,,"MEMPHIS, TN",Education N.E.C.,"$16,018,216"
1253,,"NASHVILLE, TN",Education N.E.C.,"$4,930"
1254,,"MURFREESBORO, TN","Remedial Reading, Reading Encouragement","$215,070"
1255,,"DICKSON, TN","Adult, Continuing Education",
1256,,"KINGSTON, TN","Remedial Reading, Reading Encouragement",
1257,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement",
1258,,"WINCHESTER, TN",Fund Raising and/or Fund Distribution,
1259,,"CARTHAGE, TN",Parent/Teacher Group,
1260,,"MURFREESBORO, TN","Elementary, Secondary Education, K - 12","$913,164"
1261,,"TIPTONVILLE, TN",Alumni Associations,
1262,,"MURFREESBORO, TN",Fund Raising and/or Fund Distribution,
1263,,"MEMPHIS, TN",Higher Education Institutions,
1264,,"DAYTON, TN","Primary, Elementary Schools","$469,530"
1265,,"MEMPHIS, TN","Student Services, Organizations of Students",
1266,,"MEMPHIS, TN",Educational Services and Schools - Other,
