name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
TENNESSEE SENIOR AMERICA PAGEANT,7539 OAK RIDGE HWY,KNOXVILLE,37931-3334,2000,12/1/22,0,0,0,B60
TENNESSEE SOCIETY OF GASTROINTESTINAL ENDOSCOPY,2004 HAYES ST STE 230,NASHVILLE,37203-2649,2000,12/1/21,0,0,0,B03
TENSE SUMMIT,1700 HART RD,KNOXVILLE,37922-5620,2000,12/1/18,2783,4806,4806,B60
THE BRIDGE A JOSEPH COMPANY NASHVILLE TN,PO BOX 120424,NASHVILLE,37212-0424,2100,12/1/21,38907,190864,190864,B11
THE CHANDLER PAGE HARRIS MEMORIAL SCHOLARSHIP FOUNDATION,527 ROCHELLE DR,NASHVILLE,37220-2047,2000,12/1/22,0,0,0,B82
THE CHATTANOOGA CHAPTER TROA SCHOLARSHIP TRUST,PO BOX 24482,CHATTANOOGA,37422-4482,1000,12/1/21,32768,6296,,B82Z
THE COMPREHENSIVE ORAL IMPLANTOLOGY RESIDENCY FOUNDATION,PO BOX 297,BLUFF CITY,37618-0297,1200,12/1/21,76380,746563,746563,B12
THE D070 UNIVERSITY OF TENNESSEE SECTION OF THE SOCIETY OF WOMEN,363E ZEANAH ENGINEERING COMPLEX,KNOXVILLE,37996-0001,1000,6/1/22,0,0,0,B82
THE FRANKLIN COUNTY EDUCATION FOUNDATION FOR EXCELLENCE,215 S COLLEGE ST,WINCHESTER,37398-1519,1000,12/1/22,193414,192996,180209,B82
THE TENNESSEE AGRICULTURAL PRODUCTION ASSOCIATION,156 PAUL WARREN RD,RIVES,38253-3539,1000,12/1/22,0,0,0,B03
THE TENNESSEE STATE UNIVERSITY NATIONAL ALUMNI ASSOCIATION,3500 JOHN A MERRITT BLVD 1261,NASHVILLE,37209-1500,2100,6/1/22,1550496,630519,628182,B84Z
THE VOLUNTEER CENTER FOR RURAL DEVELOPMENT,PO BOX 5,DRESDEN,38225-0005,2000,12/1/21,744193,173093,173093,B99
THOMAS J TURNER & ASSOCIATES INC,4274 OLD MEDINA RD,MEDINA,38355-9650,1000,6/1/22,0,0,0,B92
THOMPSONS STATION MIDDLE SCHOOL PTO,2638 CLAYTON ARNOLD RD,THOMPSONS STN,37179-9273,1000,6/1/21,48561,47200,29024,B94
THRIVE 4 ALL,172 EAGLES GLEN DR,FRANKLIN,37067-4480,1250,12/1/22,0,0,0,B90
THURMAN FRANCIS ARTS ACADEMY PTO,221 TODD LN,SMYRNA,37167-3226,2000,6/1/22,28895,0,0,B94
TLC LEARNING ACADEMY II,2062 SOUTHERN AVE,MEMPHIS,38114-2117,1200,,,,,B21
TN CHPTR OF THE INTL PUBLIC MNGMNT ASSOCIATION FOR HUMAN RESOURCES,PO BOX 68446,NASHVILLE,37206-8446,2000,6/1/22,0,0,0,B03
TOWNE ACRES BOOSTER CLUB,2310 LARKSPUR DR,JOHNSON CITY,37604-2470,1000,6/1/22,0,0,0,B119
TRANSACTIONS THE TENNESSEE JOURNAL OF BUSINESS LAW INC,1505 CUMBERLAND AVE,KNOXVILLE,37916-3199,1000,12/1/21,0,0,0,B99
TRANSITIONAL HOUSING & WORK PROGRAMS OF DAVIDSON CO,109 CUDE LN,MADISON,37115-2201,1000,6/1/21,716367,284741,284741,B90
TRI-CITIES CHRISTIAN SCHOOLS INC,1500 HIGHWAY 75,BLOUNTVILLE,37617-5133,2000,6/1/18,917165,1908443,1901700,B21Z
TRINITY PARENT TEACHER ORGANIZATION,4410 MURFREESBORO RD,FRANKLIN,37067-7814,1000,6/1/22,49962,182347,130172,B112
TRMCA SCHOLARSHIP FOUNDATION INC,3026 OWEN DR STE 101,ANTIOCH,37013-2417,7000,12/1/22,0,0,0,B82
TROUSDALE COUNTY BAND BOOSTERS,214 BROADWAY,HARTSVILLE,37074-1304,1000,12/1/18,12346,38022,28270,B11
TWO RIVERS ASSOCIATION FOR CHILDRENS EARLY EDUCATION,637 NORTH 8TH STREET,CLARKSVILLE,37044-0001,1000,,,,,B03
UCHS SOFTBALL BOOSTER CLUB,109 LAYS LN,MAYNARDVILLE,37807-2407,1000,9/1/18,0,0,0,B112
UNA ELEMENTARY PARENT TEACHER ORGANIZATION,2018 MURFREESBORO PIKE,NASHVILLE,37217-3206,1000,5/1/17,0,0,0,B94
UNICO MEMPHIS CHAPTER FOUNDATION INC,2795 CHARLES BRYAN RD,BARTLETT,38134-4773,1000,6/1/22,0,0,0,B82
UNICOI COUNTY MIDDLE SCHOOL PTO,599 S MOHAWK DR,ERWIN,37650-1777,1000,6/1/19,0,0,0,B94
UNITED DAUGHTERS OF THE CONFEDERACY,4353 COVEY HOLLOW RD,CULLEOKA,38451-2189,2300,8/1/22,0,0,0,B82Z
UNITED STATE SCHOOL OF NATUROPATHY AND ALLIED SCIENCE INC,157,CHATTANOOGA,37405-0000,2000,12/1/20,0,0,0,B90
UNITED SUPREME COUNCIL CHARITABLE FOUNDATION INC,3385 AIRWAYS BLVD,MEMPHIS,38116-3841,1000,6/1/17,1194262,188450,,B82
UNITUS ORG,1311 PARKLAND RD,MEMPHIS,38111-3919,2000,12/1/22,0,0,0,B92
UNIVERSITY HIGH PARENT NETWORK,330 INNOVATION DR,MEMPHIS,38152-0001,2000,7/1/22,0,0,0,B94
UNIVERSITY OF MEMPHIS RESEARCHFOUNDATION,365 INNOVATION DR 303,MEMPHIS,38152-3115,1000,6/1/22,4297067,1236519,1236519,B19
UNIVERSITY OF TENNESSEE ENDODONTIC ALUMNI ASSOCIATION,3433 AMANDA AVE,NASHVILLE,37215-1501,2800,12/1/18,0,0,0,B84
UNIVERSITY SCHOOL OF NASHVILLE,2000 EDGEHILL AVE,NASHVILLE,37212-2116,2000,6/1/22,71463411,40852027,35334908,B430
UTIG INC,916 VOLUNTEER BLVD SMC 435,KNOXVILLE,37996-4515,1200,12/1/21,0,0,0,B80
VACCINATION INFORMATION AWARENESS INITIATIVE,2312 CRAIG COVE RD,KNOXVILLE,37919-9311,2500,4/1/21,0,0,0,B02
VALLEY CHRISTIAN ACADEMY,482 COUNTY ROAD 725,RICEVILLE,37370-5738,2000,7/1/22,91102,402614,402614,B20
VANCE MIDDLE SCHOOL BAND BOOSTERS,815 EDGEMONT AVE,BRISTOL,37620-3712,1000,6/1/20,0,0,0,B94
VERITAS COLLEGE PREPARATORY LEADERSHIP ACADEMY,1500 DUNN AVE,MEMPHIS,38106-7318,2000,6/1/22,2236920,1648675,1648675,B29
VERITAS MINISTRIES INC,810 DEL RIO PIKE,FRANKLIN,37064-4282,7200,6/1/22,1253190,929976,920376,B24
VETERINARY BOOKSTORE OF TENNESSEE COLLEGE OF VETERINARY MEDICINE,COLLEGE OF VET MED 2407 RIVER DR AP,KNOXVILLE,37996-0001,1000,4/1/22,40575,77430,18212,B5XI
VICTORY ACADEMY,PO BOX 478,SPRINGFIELD,37172-0478,2700,,,,,B20
VIRGINIA BETA CHAPTER OF SIGMA PHI EPSILON,1436 W WOODSHIRE DR,KNOXVILLE,37922-5641,1000,6/1/22,0,0,0,B83
WALTER HILL PTO,6309 LEBANON RD,MURFREESBORO,37129-7854,1200,5/1/22,0,0,0,B94
WARNER ARTS MAGNET PTO,626 RUSSELL ST,NASHVILLE,37206-4206,1000,7/1/22,0,0,0,B94
WATERTOWN ELEMENTARY SCHOOL PALS,751 W MAIN ST,WATERTOWN,37184-4358,1000,6/1/22,0,0,0,B112
WATKINS YOUTH ENRICHMENT CENTER WYEC,1426 E NIR SHREIBMAN BLVD,LA VERGNE,37086-2552,1000,12/1/17,0,0,0,B99
WEAKELY COUNTY FAIR ASSOCIATION,1276 E MAIN ST,DRESDEN,38225-2382,1200,,,,,B11
WESLEY DAY SCHOOL,804 MONTVALE STATION RD,MARYVILLE,37803-5804,2000,6/1/22,130112,208534,208534,B22Z
WEST COLLIERVILLE MIDDLE SCHOOL ORCHESTRA BOOSTER CLUB,1101 NEW BYHALIA RD,COLLIERVILLE,38017-3752,1200,5/1/22,0,0,0,B11
WEST END MIDDLE SCHOOL ATHLETIC BOOSTER CLUB,1223 SAXON DR,NASHVILLE,37215-4426,1000,12/1/20,0,0,0,B11
WEST GREENE HIGH MOSHEIM MIDDLE SCHOOL BAND BOOSTERS,275 W GREENE DR,MOSHEIM,37818-6105,1000,6/1/22,0,0,0,B94
WEST HARPETH CHRISTIAN TUTORIAL,PO BOX 681972,FRANKLIN,37068-1972,1000,5/1/22,267654,145762,143408,B19
WEST HIGH FOOTBALL QUARTERBACK CLUB,PO BOX 2123,MORRISTOWN,37816-2123,1000,12/1/20,58041,39827,39827,B90
WEST HIGH SCHOOL BAND PARENTS ASSOCIATION,3300 SUTHERLAND AVE,KNOXVILLE,37919-4544,1000,7/1/16,0,0,0,B11
WEST HIGH SCHOOL PTSO,3300 SUTHERLAND AVE,KNOXVILLE,37919-4544,1000,6/1/22,50894,33836,17333,B11
WEST RIDGE HIGH SCHOOL PARENT ADVISORY COUNCIL,380 LYNN RD,BLOUNTVILLE,37617-5006,2000,,,,,B94
WEST SIDE ELEMENTARY SCHOOL PTO,1310 BURGIE ST,ELIZABETHTON,37643-2856,2000,7/1/22,0,0,0,B94
WESTSIDE ELEMENTARY PTO,3714 MURFREESBORO RD,READYVILLE,37149-5033,1000,12/1/18,0,0,0,B94
WESTSIDE PTO,700 WESTSIDE ST,ATHENS,37303-3062,2000,12/1/20,0,0,0,B94
WHITE COUNTY LIBRARY FOUNDATION,11 N CHURCH ST,SPARTA,38583-2004,1000,6/1/22,23447,3402,3402,B117
WHITE HOUSE BAND BOOSTERS,PO BOX 182,WHITE HOUSE,37188-0182,1000,6/1/22,62093,64157,33270,B94
WHITE HOUSE HERITAGE BAND BOOSTERS,PO BOX 166,WHITE HOUSE,37188-0166,1000,5/1/18,0,0,0,B11
WHITE STATION ELEMENTARY PTO,4840 CHICKASAW RD,MEMPHIS,38117-1902,1200,6/1/22,0,0,0,B12
WHITE STATION HIGH SCHOOL ATHLETIC BOOSTER CLUB INC,514 S PERKINS RD,MEMPHIS,38117-3942,2000,6/1/22,0,0,0,B11
WHITE STONE ACADEMY INC,417 W 7TH ST 803,COLUMBIA,38401-3169,1200,,,,,B20
WHITES CREEK HIGH SCHOOL ALUMNI NETWORK,1708 PHEASANT CREEK CT,ANTIOCH,37013-4973,1200,,,,,B84
WHOLE CHILD STRATEGIES INC,1350 CONCOURSE AVENUE,MEMPHIS,38104-2010,2000,6/1/22,792574,1349850,1349850,B90
WILDCAT DUGOUT CLUB,401 S MT JULIET RD STE 235 BOX 152,MT JULIET,37122-8473,1200,6/1/21,20795,42149,36259,B112
WILLIAM BLOUNT HIGH SCHOOL BAND BOOSTERS,PO BOX 7036,MARYVILLE,37802-7036,2000,6/1/22,0,0,0,B11
WILLIAM H BUTLER HUMANITARIAN SCHOLARSHIP FUND,1702 MAGNOLIA DR,MURFREESBORO,37128-5909,1000,12/1/19,0,0,0,B82
WILSON CENTRAL HIGH SCHOOL - PTSO,419 WILDCAT WAY,LEBANON,37090-8839,2000,5/1/18,388,6934,-1797,B94
WILSON ELEMENTARY PTO,1545 CUTOFF RD,MURFREESBORO,37129-7939,2000,7/1/22,0,0,0,B94
WOMEN - WORD OF MOUTH ENTREPRENEURIAL NETWORKERS WOMENS,1860 WILMA RUDOLPH BLVD,CLARKSVILLE,37040-6750,1200,12/1/22,0,0,0,B03
WOMEN CAN BE ANGELS,878 ARLINGTON HEIGHTS DR,BRENTWOOD,37027-8158,1200,12/1/21,0,0,0,B90
WOMEN IN AVIATION INTERNATIONAL,720 FRANKLIN RD,LEBANON,37087-4063,1000,12/1/22,0,0,0,B99
WOODLAND ELEMENTARY PARENT TEACHERS ORGANIZATION,168 MANHATTAN AVE,OAK RIDGE,37830-7061,2000,7/1/22,0,0,0,B20Z
XPOSURE STEM,5810 SHELBY OAKS DR STE B,MEMPHIS,38134-7315,1280,,,,,B80
YOU CAN MAKE IT HOMEOWNERSHIP CENTER INC,660 FITZHUGH BLVD STE 105,SMYRNA,37167-2066,2000,12/1/22,85538,104677,104640,B60
YOUTH DEPOT,1185 HARPETH DR,MEMPHIS,38134-8031,2000,12/1/17,0,0,0,B90
YOUTH OUTREACH IN SCIENCE TECHNOLOGY ENGINEERING AND MATHEMA,2425 MARTIN LUTHER KING JR AVE,KNOXVILLE,37915-1621,2000,7/1/22,79762,115212,115212,B20
ZETA PHI BETA SORORITY INC,1301 E MAIN ST,MURFREESBORO,37132-0002,1000,12/1/21,0,0,0,B83
A 1 LEARNING CONNECTIONS,8915 FARNE ISLAND BLD,KNOXVILLE,37923-0000,2100,12/1/21,87518,443366,443366,B90
A CLASS ABOVE LEARNING ACADEMY,4455 SAINT MARKS CV,MEMPHIS,38125-3244,2000,12/1/21,0,0,0,B21
A FUTURE BEYOND INC,612 ROWAN CT,NASHVILLE,37207-3517,2100,12/1/22,0,0,0,B90
A NOVEL IDEA FOUNDATION INC,609 S RIVERBEND CT,NASHVILLE,37221-3934,2000,,,,,B82
ABVP FOUNDATION,PO BOX 1868,MT JULIET,37121-1868,1000,6/1/22,0,0,0,B82
ACT ACKNOWLEDGING THE COMMUNITY TOGETHER,124 ROLLING HILLS DR,HENDERSONVLLE,37075-4348,1200,12/1/16,0,0,0,B90
AEDC WOMANS CLUB SCHOLARSHIP FOUNDATION,234 SHARP CIR,WINCHESTER,37398-4559,1000,12/1/22,0,0,0,B82
AFRICAN STRATEGIC LEADERSHIP PRAYER NETWORK,PO BOX 925,CLEVELAND,37364-0925,1000,12/1/21,58072,173324,173324,B90
AGATHOS SCHOOL OF COLUMBIA,1201 MAPLEASH AVE,COLUMBIA,38401-6329,2100,12/1/21,4038625,2295972,2295972,B24
AIR FORCE ASSOCIATION,5685 HAYES RD,ARLINGTON,38002-3877,1000,12/1/22,0,0,0,B034
AKHASE,1169 FAXON AVE,MEMPHIS,38105-2518,2000,12/1/20,0,0,0,B70
ALABAMA A&M UNIVERSITY ALUMNI ASSOCIATION-METRO NASHVILLE CHAPTE,PO BOX 2071,SMYRNA,37167-1710,1000,12/1/21,3649,3448,3448,B84
ALEG-UP,265 CHELAQUE WAY,MOORESBURG,37811-2658,2000,12/1/22,0,0,0,B19
ALIGNMENT NASHVILLE INC,150 ATHENS WAY,NASHVILLE,37228-1488,1000,6/1/22,1090407,1545042,1536216,B80
ALPHA EPSILON HOUSE CORPORATION OF KAPPA DELTA SORORITY,6820 OLD KENT DR,KNOXVILLE,37919-7440,1000,6/1/22,5188195,844916,844916,B198
ALTRURIA ELEMENTARY SCHOOL PTO,6641 DEERMONT DR,BARTLETT,38134-3856,2000,6/1/22,0,0,0,B94
ALTRUSA INTERNATIONAL FOUNDATION INC,PO BOX 5763,OAK RIDGE,37831-5763,1000,5/1/22,0,0,0,B92J
AMERICAN ASSOCIATION FOR ITALIAN STUDIES,585 S GREER ST APT 702,MEMPHIS,38111-3211,2300,12/1/21,178312,64973,64973,B03
AMERICAN DENTAL ASSISTANTS ASSOCIATION,469 JULIAN RD,CHATTANOOGA,37421-4250,2000,4/1/22,0,0,0,B99
AMERICAN DESTINY INC,436 HEROIT DR,SPRING HILL,37174-1524,2700,12/1/22,0,0,0,B99
AMERICAN NUCLEAR SOCIETY AT THE UNIVERSITY OF TENNESSE-KNOXVILLE,1412 CIRCLE DR,KNOXVILLE,37996-4503,2000,12/1/20,0,0,0,B80
AMY C TAYLOR FOUNDATION,5696 LICKTON PIKE,GOODLETTSVLLE,37072-9137,1000,12/1/22,0,0,0,B82
ANDERSON COUNTY HIGH SCHOOL BAND BOOSTERS,130 MAVERICK CIR,CLINTON,37716-6701,2000,6/1/22,0,0,0,B11
ANDREW JOHNSON ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,1001 ORMOND DR,KINGSPORT,37664-3235,2000,7/1/22,0,0,0,B94
ANOTHER CHANCE CORPORATION,3754 WINDERWOOD CIR,MEMPHIS,38128-4321,1200,12/1/19,0,0,0,B90
ANTIOCH BAND BOOSTERS CLUB,PO BOX 1,ANTIOCH,37011-0001,1000,5/1/21,13251,18189,18189,B11
ANTIOCH HIGH ALUMNI ASSOCIATION INC,414 UNION ST STE 1105,NASHVILLE,37219-1865,1000,9/1/22,0,0,0,B84
APPLING MIDDLE SCHOOL PTO,3700 APPLING RD,BARTLETT,38133-2717,1200,6/1/18,0,0,0,B01
ARLINGTON HIGH SCHOOL SOCCER BOOSTER CLUB,5475 AIRLINE RD,ARLINGTON,38002-4068,1200,,,,,B94
ASHLEY SMARTT SCHOLARSHIP AND MEMORIAL FUND,866 PLANTATION BLVD,GALLATIN,37066-4496,1200,12/1/21,0,0,0,B82
ASLAP FOUNDATION,9190 CRESTWYN HILLS DR,MEMPHIS,38125-8538,1000,12/1/21,208367,48144,48144,B82
ASSOCIATION FOR CONTINUING HIGHER EDUCATION,1501 UNIVERSITY BLVD,KINGSPORT,37660-8488,2000,6/1/17,186094,309360,246908,B60
AVIATION IN SCHOOLS,5145 BARRY RD,MEMPHIS,38117-3441,1200,3/1/22,0,0,0,B01
AVIATION NATION AERO,2950 DIANA RD,CORNERSVILLE,37047-7018,2000,12/1/20,0,0,0,B99
AVIATION WOMEN INSPIRING NEXT GENERATION INC,PO BOX 4163,MARYVILLE,37802-4163,2000,9/1/22,0,0,0,B82
AWARENESS FOUNDATION,180 BILL RD,NEW TAZEWELL,37825-2948,1000,12/1/22,0,0,0,B99Z
AYERS FOUNDATION TRUST,PO BOX 756,PARSONS,38363-0756,1000,6/1/22,1,1,,B99
BAMBOUNDE AFRICA INC,3059 GREENLODGE LN,MEMPHIS,38119-8702,1250,12/1/21,0,0,0,B99
BAND BOOSTERS OF BLACKMAN HIGH SCHOOL,3956 BLAZE DR,MURFREESBORO,37128-3845,1200,5/1/22,130056,129434,129434,B11
BARGERTON SCHOOL PTO,6141 POPLAR SPRINGS BARGERTON RD,LEXINGTON,38351-3653,1200,6/1/22,0,0,0,B94
BARTLETT BASKETBALL BOOSTERS CLUB INC,150 WOODMONT DR,EADS,38028-3192,2000,6/1/22,0,0,0,B11
BEACON ACADEMY,PO BOX 1235,COLLEGEDALE,37315-1235,2000,6/1/22,1794655,579147,579147,B20
BEARDEN HIGH SCHOOL BAND BOOSTERS,PO BOX 32066,KNOXVILLE,37930-2066,1000,6/1/22,86268,105335,74242,B112
BEARDEN HIGH SCHOOL PARENT TEACHER STUDENT ORGANIZATION,8352 KINGSTON PIKE,KNOXVILLE,37919-5489,1000,6/1/22,63290,34511,19946,B94
BEHELD THE SERPENT,8328 ROBERTS MATTHEWS HWY,COOKEVILLE,38506-8954,1200,12/1/22,0,0,0,B90
BENNAH EMPOWERING THROUGH STRATEGIC TRAINING,3423 STREET DR,JOHNSON CITY,37604-2709,2000,3/1/23,0,0,0,B20
BETA BETA OF ALPHA DELTA PI HOUSE CCORPORATION,PO BOX 623,HIXSON,37343-0623,1000,6/1/22,1227376,151819,151819,B83
BETTER B LLC,517 SUMMIT OAKS CT,NASHVILLE,37221-1429,1000,12/1/22,0,0,0,B92
BETTER LIVING SERIES INNER-CITY TRAINING INSTITUTE,51 WINDWOOD DR,FAYETTEVILLE,37334-6098,2000,12/1/22,7500,4900,4700,B90
BIBLE LITERATURE ONLINE,345 FRAZIER AVE STE 205,CHATTANOOGA,37405-4121,2000,7/1/22,385047,0,0,B90
BIKERS & SOCIAL CLUBS 4 CHANGE,3125 DEE ANN DR,MEMPHIS,38119-9133,1000,12/1/22,0,0,0,B99
BLACKMAN HIGH SCHOOL VARSITY CHEERLEADERS BOOSTER ORGANIZATION,3956 BLAZE DR,MURFREESBORO,37128-3845,1200,4/1/22,85203,145234,113303,B11
BLEDSOE COUNTY HIGH SCHOOL ALUMNI ASSOCIATION INC,PO BOX 346,PIKEVILLE,37367-0346,2000,12/1/20,0,0,0,B118
BLESSED BEGINNINGS COMPREHENSIVE LEARNING CENTER INC,102 RIDLEY ST,SMYRNA,37167-2847,2000,12/1/19,0,76214,76214,B21
BLOUNT COUNTY GENERALOGICAL AND HISTORICAL SOCIETY,PO BOX 4986,MARYVILLE,37802-4986,2000,12/1/22,0,0,0,B99
BLUE SKIES DEVELOPMENT,208 CARGILE LN,NASHVILLE,37205-3206,1200,4/1/22,0,0,0,B20
BLUFF CITY CHRISTIAN COLLEGE OF MEMPHIS,1169 RACE ST,MEMPHIS,38106-3216,2700,,,,,B40Z
BOBBY LANIER FARM PARK INC,2276 WEST ST,GERMANTOWN,38138-5955,1200,12/1/21,0,0,0,B90
BON LIN ELEMENTARY PTO,3940 N GERMANTOWN RD,BARTLETT,38133-2006,1000,12/1/18,0,0,0,B94
BOONES CREEK ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,132 HIGHLAND CHURCH RD,JOHNSON CITY,37615-4452,1000,6/1/22,0,0,0,B94
BOOTSTRAPS FOUNDATION INC,PO BOX 159220,NASHVILLE,37215-9220,1000,12/1/19,131068,36767,36767,B82Z
BRADLEY CLEVELAND PUBLIC EDUCATION FOUNDATION,PO BOX 4354,CLEVELAND,37320-4354,1000,6/1/22,752704,768303,768303,B12
BRADLEY COUNTY HOME EDUCATORS INC,4799 CRESTRIDGE LN NW,CLEVELAND,37312-2999,2000,7/1/22,0,0,0,B90
BRAINERD BAPTIST SCHOOL,PO BOX 8099,CHATTANOOGA,37414-0099,1000,7/1/22,1338519,4193572,4179890,B24
BRICKEY ELEMENTARY SCHOOL PTO,1810 DRY GAP PIKE,KNOXVILLE,37918-9616,1000,6/1/22,36189,69345,44512,B94
BRIDGE BUILDERS PROGRAM INC,1903 OLD HICKORY BLVD,OLD HICKORY,37138-2856,1200,12/1/22,0,0,0,B90
BRIDGES OF GLORY INTERNATIONAL,307 DORRIS CT,HENDERSONVLLE,37075-9501,1000,12/1/21,0,0,0,B90
BRIGHTNESS-MASSAGE SCHOOL FOR THE BLIND,6801 MACON RD,MEMPHIS,38134-0000,2000,12/1/18,0,0,0,B60
BRIGHTON ELEMENTARY SCHOOL PARENT TEACHERS ORGANIZATION,1201 OLD HIGHWAY 51 S,BRIGHTON,38011-4050,1000,7/1/22,0,0,0,B112
BRILLARE BEAUTY INSTITUTE,1605 PROFNL PARK DR NW,CLEVELAND,37312-0000,2000,12/1/21,1097021,3070018,2779261,B30Z
BULLDOG BOOSTER CLUB RICKMAN ELEMENTARY,631 RICKMAN MONTEREY HWY,RICKMAN,38580-2101,1200,12/1/21,0,0,0,B94
BUSHRA AND ATA UR REHMAN FOUNDATION INC,1105 ROLLING CREEK DR,BRENTWOOD,37027-8495,1000,12/1/20,55614,10000,10000,B82
BUSINESS SYNTHESIS,PO BOX 707,GAINESBORO,38562-0707,1200,12/1/16,0,0,0,B60
BUTLER AND WATAUGA VALLEY HERITAGE ASSOCIATION INC,123 SELMA CURTIS ROAD,BUTLER,37640-0000,1200,12/1/22,0,0,0,B70
C H PUDOR SCHOLARSHIP FOUNDATION,PO BOX 567,HUNTINGDON,38344-0567,2000,12/1/22,16372,60,,B82
CALHOUN ELEMENTARY PTO,PO BOX 129,CALHOUN,37309-0129,1200,,,,,B94
CAMPAIGN FOR SCHOOL EQUITY,100 PEABODY PL STE 1165,MEMPHIS,38103-3651,2000,,,,,B90
CAMPBELL COUNTY TEACHER DEPOT,PO BOX 1171,LA FOLLETTE,37766-1171,1000,,,,,B99
CANE RAISERS OF EAST HAMILTON,2015 OOLTEWAH RINGGOLD RD,OOLTEWAH,37363-9392,1000,12/1/21,0,0,0,B11
CANYON CREEK ACADEMY,563 CLEAR CANYON DR,HIXSON,37343-2027,1000,,,,,B24
CAREGIVER SUPERHERO SOCIETY,2104 CHIPPENDALE DR,MARYVILLE,37803-2886,1200,12/1/22,0,0,0,B01
CARING AND PROGRESSION INC,807 31ST AVE N,NASHVILLE,37209-2623,1200,,,,,B90
CARNIVAL EDUCATIONAL FUND INC,4735 SPOTTSWOOD AVE STE 103,MEMPHIS,38117-4840,2000,7/1/22,314939,1001340,1001340,B20J
CARR FAMILY FOUNDATION,PO BOX 445,BURNS,37029-0445,1000,12/1/22,261634,7471,,B82
CARTER BASEBALL CLUB,206 STONE BLUFF CT,KNOXVILLE,37924-3862,2000,12/1/21,0,0,0,B11
CASON LANE ACADEMY PARENT TEACHER ORGANIZATION INC,1330 CASON LN,MURFREESBORO,37128-6795,1000,6/1/19,0,0,0,B94
CATONS CHAPEL COMMUNITY CLUB,3135 CATONS CHAPEL RD,SEVIERVILLE,37876-8760,2000,12/1/22,0,0,0,B20
CENTER FOR BIOSTEAM EXCELLENCE,160741,NASHVILLE,37216-0000,1280,12/1/21,0,0,0,B90
CHAMBERLAIN HUNT ACADEMY,5100 POPLAR AVE STE 3120,MEMPHIS,38137-2001,2000,5/1/22,1077787,253421,247373,B25Z
CHAPEL HILL TOUCHDOWN ASSOCIATION INC,4519 POLARIS DR,CHAPEL HILL,37034-2463,1000,12/1/22,60297,205158,111322,B94
CHARLOTTE ELEMENTARY SCHOOL PTO,200 HUMPHRIES ST,CHARLOTTE,37036-4902,2000,,,,,B94
CHATTANOOGA ALUMNI CHAPTER KNOXVILLE COLLEGE,6513 PINE MANOR DR,CHATTANOOGA,37421-2458,1200,12/1/20,0,0,0,B01
CHATTANOOGA CHARTER SCHOOL OF EXCELLENCE HIGH,200 E 37TH ST,CHATTANOOGA,37410-1403,1200,6/1/21,0,0,0,B29
CHATTANOOGA CHRISTIAN SCHOOL INC,3354 CHARGER DR,CHATTANOOGA,37409-1265,2000,6/1/22,43479311,27909951,27460378,B200
CHATTANOOGA MODULAR MODELERS INC,537 MARKET ST STE 400,CHATTANOOGA,37402-1287,1200,12/1/22,0,0,0,B99
CHATTANOOGA OPHTHALMOLOGICAL FOUNDATION,605 CHESTNUT ST STE 1700,CHATTANOOGA,37450-0019,1000,6/1/22,3969516,377842,,B50
CHATTANOOGA REGIONAL SCIENCE AND ENGINEERING FAIR,615 MCCALLIE AVE,CHATTANOOGA,37403-2504,2000,9/1/18,0,0,0,B9XZ
CHATTANOOGA WRITERS GUILD,2288 GUNBARREL RD STE 154 # 251,CHATTANOOGA,37421-3492,1000,7/1/22,0,0,0,B60
CHES FALCONS PTO,2093 USSERY RD S,CLARKSVILLE,37040-7014,1200,6/1/22,0,0,0,B94
CHILDRENS CARE AND DEVELOPMENT CENTERS INC,2185 DEMOCRAT RD,MEMPHIS,38132-1802,2000,6/1/22,87878,156000,156000,B20
CHRIS ADAMS FLIGHT ACADEMY,2436 CAMPBELLS STATION RD,CULLEOKA,38451-2304,2000,12/1/22,1,112691,112691,B99
CHRISTIAN ACADEMY OF KNOXVILLE INC,529 ACADEMY WAY,KNOXVILLE,37923-3622,2000,6/1/22,20397612,20651233,20440407,B24Z
CHRISTIAN BROTHERS UNIVERSITY,650 E PARKWAY S,MEMPHIS,38104-5519,1000,5/1/22,107139654,106902216,73065264,B430
CHRISTIAN COMMUNITY SCHOOLS,506 HESTER DR,WHITE HOUSE,37188-9255,2000,6/1/20,413120,3396308,3396308,B20
CHS KICK-OFF CLUB INC,11605 E SHELBY DR,COLLIERVILLE,38017-9511,1200,12/1/21,94295,191500,191500,B112
CLARKSVILLE CITIZENS POLICE ACADEMY,PO BOX 120,CLARKSVILLE,37041-0120,1000,12/1/21,0,0,0,B99
CLARKSVILLE MONTGOMERY COUNTY,1820 MEMORIAL DR STE 102,CLARKSVILLE,37043-4693,3000,6/1/20,205559,487539,487539,B032
CLEARCOGNITION ORG,830 NELSON DR,KINGSTON,37763-2022,2000,6/1/22,0,0,0,B90
COACH CHIG RATLEDGE MEMORIAL SCHOLARSHIP FUND INC,501 HIGH ST,LOUDON,37774-1119,1200,12/1/22,0,0,0,B82
COALFIELD SCHOOL PTO INC,PO BOX 98,COALFIELD,37719-0098,1000,5/1/21,0,0,0,B94
